GHO;Indicator;PUBLISH STATES;Year;WHO region;Country;Age Group;Sex;Display Value;Numeric Value;Low Value;High Value;Comments
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Europe;Belarus;20+;Male;25.1 [23.0-27.3];25.1;23;27.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1999;Europe;Belarus;20+;Male;25.2 [23.0-27.4];25.2;23;27.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2004;Europe;Belarus;20+;Male;25.6 [23.4-27.9];25.6;23.4;27.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Europe;Belarus;20+;Male;25.9 [23.6-28.2];25.9;23.6;28.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1985;Europe;Belgium;20+;Male;25.2 [24.7-25.7];25.2;24.7;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;Europe;Belgium;20+;Male;25.3 [24.8-25.8];25.3;24.8;25.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;Europe;Belgium;20+;Male;25.8 [25.1-26.4];25.8;25.1;26.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;Europe;Belgium;20+;Male;25.9 [25.2-26.6];25.9;25.2;26.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2001;Europe;Belgium;20+;Male;26.2 [25.5-27.0];26.2;25.5;27;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;Europe;Belgium;20+;Male;26.4 [25.5-27.2];26.4;25.5;27.2;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1982;Americas;Belize;20+;Male;24.5 [22.6-26.3];24.5;22.6;26.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Americas;Belize;20+;Male;24.6 [22.9-26.3];24.6;22.9;26.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1991;Americas;Belize;20+;Male;25.1 [23.8-26.4];25.1;23.8;26.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Americas;Belize;20+;Male;25.3 [24.1-26.5];25.3;24.1;26.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1998;Americas;Belize;20+;Male;25.8 [24.8-26.8];25.8;24.8;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Americas;Belize;20+;Male;26.0 [25.1-26.9];26;25.1;26.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2007;Americas;Belize;20+;Male;27.0 [26.1-27.8];27;26.1;27.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Africa;Benin;20+;Male;20.9 [18.7-22.9];20.9;18.7;22.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1988;Africa;Benin;20+;Male;21.1 [19.6-22.7];21.1;19.6;22.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Africa;Benin;20+;Male;21.2 [19.8-22.6];21.2;19.8;22.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1995;Africa;Benin;20+;Male;21.5 [20.2-22.7];21.5;20.2;22.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Africa;Benin;20+;Male;21.6 [20.5-22.7];21.6;20.5;22.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2004;Africa;Benin;20+;Male;22.1 [21.3-22.9];22.1;21.3;22.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Africa;Benin;20+;Male;22.3 [21.6-22.9];22.3;21.6;22.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1985;South-East Asia;Bhutan;20+;Male;21.6 [19.5-23.6];21.6;19.5;23.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;South-East Asia;Bhutan;20+;Male;21.7 [19.7-23.5];21.7;19.7;23.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1992;South-East Asia;Bhutan;20+;Male;21.8 [20.1-23.5];21.8;20.1;23.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;South-East Asia;Bhutan;20+;Male;21.9 [20.2-23.5];21.9;20.2;23.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1996;South-East Asia;Bhutan;20+;Male;22.0 [20.4-23.5];22;20.4;23.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2001;South-East Asia;Bhutan;20+;Male;22.3 [20.9-23.7];22.3;20.9;23.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2003;South-East Asia;Bhutan;20+;Male;22.4 [21.0-23.8];22.4;21;23.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1982;Americas;Bolivia (Plurinational State of);20+;Male;23.0 [20.4-25.7];23;20.4;25.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1984;Americas;Bolivia (Plurinational State of);20+;Male;23.0 [20.6-25.5];23;20.6;25.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1989;Americas;Bolivia (Plurinational State of);20+;Male;23.2 [21.2-25.3];23.2;21.2;25.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1991;Americas;Bolivia (Plurinational State of);20+;Male;23.3 [21.4-25.3];23.3;21.4;25.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1993;Americas;Bolivia (Plurinational State of);20+;Male;23.4 [21.6-25.3];23.4;21.6;25.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1998;Americas;Bolivia (Plurinational State of);20+;Male;23.8 [22.2-25.4];23.8;22.2;25.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2000;Americas;Bolivia (Plurinational State of);20+;Male;23.9 [22.4-25.5];23.9;22.4;25.5;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2007;Americas;Bolivia (Plurinational State of);20+;Male;24.4 [22.9-26.0];24.4;22.9;26;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1981;Europe;Bosnia and Herzegovina;20+;Male;25.1 [23.1-27.1];25.1;23.1;27.1;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1986;Europe;Bosnia and Herzegovina;20+;Male;25.3 [23.8-26.8];25.3;23.8;26.8;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1988;Europe;Bosnia and Herzegovina;20+;Male;25.3 [23.9-26.6];25.3;23.9;26.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1990;Europe;Bosnia and Herzegovina;20+;Male;25.3 [24.1-26.4];25.3;24.1;26.4;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1995;Europe;Bosnia and Herzegovina;20+;Male;25.0 [24.0-25.9];25;24;25.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1997;Europe;Bosnia and Herzegovina;20+;Male;25.1 [24.3-26.0];25.1;24.3;26;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2004;Europe;Bosnia and Herzegovina;20+;Male;26.2 [25.5-26.9];26.2;25.5;26.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2006;Europe;Bosnia and Herzegovina;20+;Male;26.5 [25.6-27.3];26.5;25.6;27.3;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1985;Africa;Botswana;20+;Male;19.7 [17.9-21.7];19.7;17.9;21.7;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1987;Africa;Botswana;20+;Male;19.8 [18.1-21.6];19.8;18.1;21.6;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1992;Africa;Botswana;20+;Male;20.3 [18.9-21.9];20.3;18.9;21.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;1994;Africa;Botswana;20+;Male;20.5 [19.2-21.9];20.5;19.2;21.9;
NCD_BMI_MEAN;Mean BMI (kg/m2) (age-standardized estimate);Published;2001;Africa;Botswana;20+;Male;21.2 [20.2-22.2];21.2;20.2;22.2;
